ID,source,n_backbone_matches,MW,cLogP,HBD,HBA,TPSA,RotBonds
20061.0,TTD_SDF,9,1168.464,-8.684,19.0,20.0,506.15,11.0
20347.0,TTD_SDF,9,1678.725,-4.714,24.0,22.0,672.85,27.0
20372.0,TTD_SDF,16,4227.823,-16.979,61.0,63.0,1714.43,98.0
20414.0,TTD_SDF,11,1201.841,3.269,5.0,12.0,278.8,15.0
20592.0,TTD_SDF,9,1645.726,-5.376,22.0,24.0,702.02,32.0
20696.0,TTD_SDF,13,2562.015,-6.548,34.0,38.0,994.81,51.0
21043.0,TTD_SDF,10,1473.729,-2.587,20.0,19.0,549.24,22.0
21199.0,TTD_SDF,8,1254.628,0.726,5.0,18.0,359.98,8.0
21300.0,TTD_SDF,9,1613.687,-4.06,23.0,21.0,638.38,25.0
21350.0,TTD_SDF,12,1561.814,-5.021,19.0,22.0,609.92,26.0
21413.0,TTD_SDF,11,3649.276,-8.251,42.0,52.0,1348.74,79.0
21461.0,TTD_SDF,9,1593.693,-7.057,24.0,23.0,677.29,26.0
22072.0,TTD_SDF,9,1661.741,0.492,19.0,21.0,509.39,25.0
22085.0,TTD_SDF,7,997.403,-3.078,14.0,14.0,428.25,15.0
22111.0,TTD_SDF,9,1639.714,-5.195,23.0,22.0,657.06,27.0
22148.0,TTD_SDF,9,1613.687,-4.06,23.0,21.0,638.38,25.0
22246.0,TTD_SDF,9,1509.683,0.65,17.0,19.0,439.07,22.0
22387.0,TTD_SDF,8,1388.601,-4.507,19.0,20.0,534.8,23.0
22606.0,TTD_SDF,14,1866.641,-11.044,30.0,31.0,820.75,23.0
22673.0,TTD_SDF,10,1636.717,-4.914,22.0,23.0,613.23,26.0
23013.0,TTD_SDF,9,1647.725,0.15,20.0,21.0,518.18,25.0
23288.0,TTD_SDF,7,732.323,-1.387,9.0,9.0,251.16,5.0
23302.0,TTD_SDF,9,1681.689,-4.004,23.0,22.0,674.91,28.0
23512.0,TTD_SDF,10,1636.717,-4.914,22.0,23.0,613.23,26.0
23529.0,TTD_SDF,8,2158.074,-4.886,34.0,27.0,892.04,49.0
23554.0,TTD_SDF,9,1623.707,-3.988,22.0,21.0,628.38,25.0
23780.0,TTD_SDF,10,1145.524,-3.556,15.0,16.0,477.66,19.0
23783.0,TTD_SDF,12,2485.177,-7.317,42.0,35.0,1048.08,51.0
24370.0,TTD_SDF,9,1599.707,-4.654,22.0,21.0,628.38,24.0
24514.0,TTD_SDF,9,1589.687,-5.645,22.0,22.0,651.11,25.0
25000.0,TTD_SDF,13,2025.887,-12.284,31.0,32.0,920.32,35.0
25084.0,TTD_SDF,9,1498.678,0.059,17.0,19.0,460.06,21.0
25824.0,TTD_SDF,7,1813.735,-6.999,17.0,31.0,636.98,56.0
26016.0,TTD_SDF,8,1153.587,-4.636,15.0,18.0,470.38,20.0
26020.0,TTD_SDF,11,1873.919,-5.864,28.0,25.0,762.94,36.0
26344.0,TTD_SDF,10,1559.701,-6.736,22.0,23.0,619.02,24.0
26438.0,TTD_SDF,8,2036.057,-6.497,34.0,27.0,888.96,47.0
26453.0,TTD_SDF,14,1866.641,-11.044,30.0,31.0,820.75,23.0
26933.0,TTD_SDF,9,1625.57,-0.572,19.0,20.0,494.87,21.0
26995.0,TTD_SDF,9,1498.678,0.059,17.0,19.0,460.06,21.0
27056.0,TTD_SDF,7,1179.488,0.014,14.0,15.0,378.39,15.0
27137.0,TTD_SDF,14,2149.769,-13.887,36.0,35.0,964.16,32.0
27604.0,TTD_SDF,7,947.359,-6.427,14.0,16.0,452.35,13.0
27786.0,TTD_SDF,11,1302.925,3.778,6.0,13.0,307.9,20.0
27819.0,TTD_SDF,9,2440.301,-1.353,29.0,31.0,873.39,66.0
27839.0,TTD_SDF,9,1787.839,-2.044,21.0,23.0,641.75,29.0
27852.0,TTD_SDF,8,961.473,-6.552,14.0,14.0,460.8,17.0
